Job Code,Purchased Services Job Code
102,Chief School  Administrator/District Superintendent
103,Administrative Assistant to District Superintendent 
104,Interim Superintendent
112,School Business Administrator
114,Assistant School Business Admin
120,Assistant Superintendent Non-Business
121,Assistant Superintendent Business
122,Assistant Superintendent Curriculum Instruction
201,High School Principal
202,Assistant Principal High School
211,Junior High School Principal
212,Assistant Principal Junior High School
221,Middle School Principal
222,Assistant Principal Middle School
231,Elementary School Principal
232,Assistant Principal Elementary School
241,Vocational School Principal
242,Assistant Principal Vocational School
251,Principal Handicapped School
252,Assistant Principal Handicapped School
261,Adult High School Principal
262,Assistant Principal Adult High School
300,Supervisor Curriculum & Instruction
301,Supervisor Basic Skills
302,Supervisor Bilingual/ESL
303,Supervisor Elementary Education
304,Supervisor Secondary Education
305,Supervisor Vocational Education
306,Supervisor Pupil Personnel Services/Guidance
307,Supervisor Personnel/Staff Development
308,Supervisor  Planning/Research and Evaluation (Testing)
309,Supervisor Adult Education
310,Supervisor Athletics
311,Supervisor Audio-Visual Aids
312,Supervisor Art
313,Supervisor Business
314,Supervisor English
315,Supervisor Foreign Languages
316,Supervisor Health/Physical Education
317,Supervisor Home Economics
318,Supervisor Industrial Arts
319,Supervisor Mathematics
321,Supervisor Music
322,Supervisor Science
323,Supervisor Social Studies
324,Supervisor Special Education
325,Supervisor Vocational-Technical Subjects
326,"Supervisor of Athletics, Health and Physical Education"
327,Supervisor of Humanities
328,Supervisor of Math/Science
399,Supervisor Special Project
400,Non-Supervisory Coordinator Curriculum and Instruction
401,Non-Supervisory Coordinator of Basic Skills 
402,Non-Supervisory Coordinator Bilingual/ESL
403,Non-Supervisory Coordinator Elementary
404,Non-Supervisory Coordinator Secondary
405,Non-Supervisory Coordinator Vocational
406,Non-Supervisory Coordinator Guidance
409,Non-Supervisory Coordinator Adult  Ed
410,Non-Supervisory Coordinator Nurse
411,Non-Supervisory Coordinator Audio Visual aids
412,Non-Supervisory Coordinator Art
413,Non-Supervisory Coordinator Business
414,Non-Supervisory Coordinator English
415,Non-Supervisory Coordinator Foreign Language
416,Non-Supervisory Coordinator Physical Ed & Health
417,Non-Supervisory Coordinator Home Economics
418,Non-Supervisory Coordinator Industrial Arts
419,Non-Supervisory Coordinator Math
420,Non-Supervisory Coordinator Teacher Student Discipline and Activity Advisor
421,Non-Supervisory Coordinator Music
422,Non-Supervisory Coordinator Science
423,Non-Supervisory Coordinator Social Studies
424,Non-Supervisory Coordinator Special  Ed
425,Non-Supervisory Coordinator Vocational/Tech
426,Non-Supervisory Coordinator Athletics
430,"Coordinator of Grants Management, Manandated Programs & Special Projects"
450,Dean of Programs and Students
452,District Anti-Bullying Coordinator
496,Transition Teacher
497,Assistant to the Superindent Special Education
498,Dean of Students
499,Non-Supervisory Coordinator Special  Projects
500,Director Curriculum & Instruction
501,Director Basics Skills/Compensatory Education
502,Director Bilingual/ESL
503,Director Elementary Education
504,Director Secondary Education
505,Director Vocational Education
506,Director Student Personnel Services Guidance
507,Director Personnel/Staff Development
508,Director Planning/Research and Evaluation 
509,Director Adult Education
511,Director Audio-Visual Aids
512,Director of Art
513,Director Business
514,Director English
515,Director Foreign Lang
516,Director Health/PE
517,Director Home Economics
518,Director Indus Arts
519,Director Mathematics
521,Director Music
522,Director Science
523,Director Social Studies
524,Director Special Ed
525,Director Vocational -Technical Subjects
526,Director Athletics
599,Director Special Project
700,Director
701,Assistant Director
702,Executive Director
703,Business Manager
1000,Preschool   
1001,Elementary Kindergraten-8 Grade
1003,Kindergarten                  
1004,Elementary School Teacher K-5
1007,"Elementary Teacher in secondary setting APA Only Subcategory Identifier S, H, or V"
1015,English/Elementary          
1016,Mathematics/Elementary           
1017,Science /Elementary                 
1018,Social Studies/Elementary            
1102,Mathematics Grades 5 - 8
1103,Science Grades 5  -8
1104,Social Studies Grades 5 -8
1105,American  Sign Lang Grades 5 - 8
1106,Lang Arts/Literacy Grades 5 - 8
1110,French Grades 5 - 8 
1125,German Grades 5 - 8
1130,Italian Grades 5 - 8 
1145,Latin Grades 5 - 8 
1150,Spanish Grades 5 - 8
1165,Russian Grades 5 - 8 
1170,Greek Grades 5 - 8 
1172,Chinese Grades 5 - 8 
1173,Japanese Grades 5 - 8 
1174,Portuguese Grades 5 - 8 
1176,Polish Grades 5 - 8 
1178,Hebrew Grades 5 - 8 
1179,Korean Grades 5 - 8 
1181,Arabic Grades 5 - 8 
1191,Other World Lang Grades 5 - 8
1200,Art
1261,Dance
1271,Theater/Stage
1273,Cinema/TV Production
1283,Photography/Technical
1284,Photography/Art of photography (HQ Only)
1285,Print Making/Technical
1286,Print Making/Art of Print Making (HQ Only)
1301,Business Organization
1304,Advertising
1306,Banking/Insurance Principles
1308,Economics/Economic Geography
1311,Financial & Investment Principles
1315,Business Law
1317,Marketing/Sales
1331,Bookkeeping  Accounting
1341,Office Organization - Practices and Procedures
1345,Clerical Office Practices
1361,Shorthand
1381,Typing/Word Processing
1387,Data Entry
1388,Data Processing
1401,English Non-Elementary
1405,Business English
1408,Basic Skills/Remedial English
1411,Reading Development/Remedial Elementary
1412,Reading Remedial-Secondary
1415,Library Skills Development
1441,Speech Arts/Drama
1442,Public Speaking
1451,Theater
1485,English as a 2nd Language
1486,Bilingual/Bicultural
1500,Language Arts/Literacy 
1505,American Sign Language
1506,Chinese
1510,French
1520,German
1530,Italian
1540,Latin
1550,Spanish
1560,Russian
1570,Greek
